prk_place_nm,address,monthly_pass_fee,prk_style
대연성당 주변,부산광역시 남구 대연동 67-33번지,40000,공영
동국제강 진입로,부산광역시 남구 감만동 602번지,40000,공영
119안전센터 옆,부산광역시 남구 감만동 592-24번지,40000,공영
감만동 홍곡로 공영주차장,부산광역시 남구 감만동 187-9번지,40000,공영
국제아파트주변,부산광역시 남구 감만동 27-10번지,40000,공영
하얏트아파트 주변,부산광역시 남구 감만동 33-401번지,40000,공영
용호중학교 옆 공영주차장,부산광역시 남구 용호동 514-4번지,40000,공영
동명로118번길 공영주차장,부산광역시 남구 용호동 485-16번지,40000,공영
용호로232번길 공영주차장,부산광역시 남구 용호동 536-1번지,40000,공영
용호4동 주민센터 주변,부산광역시 남구 용호동 534-18번지,40000,공영
해군아파트아래 담장길,부산광역시 남구 용호동 534-30번지,40000,공영
용호로178번길 공영주차장,부산광역시 남구 용호동 485-2번지,40000,공영
솔밭공원 윗길,부산광역시 남구 용호동 409-22번지,40000,공영
솔밭공원 아랫길,부산광역시 남구 용호동 356-1번지,40000,공영
용호성당 주변,부산광역시 남구 용호동 487-9번지,40000,공영
삼성시장 배수펌프장 상부,부산광역시 남구 용호동 265-4번지,40000,공영
용호1동 제4공영주차장,부산광역시 남구 용호동 221-1번지,40000,공영
백세교,부산광역시 남구 용호동 869번지,40000,공영
다보네가구 주차장(부설개방),부산광역시 남구 용호동 566-3번지,40000,공영
동산그린아파트 앞,부산광역시 남구 용호동 527-11번지,40000,공영
용호종합복지관주변,부산광역시 남구 용호동 85-2번지,40000,공영
분포맨션주변,부산광역시 남구 용호동 368-3번지,40000,공영
동명로157번길 공영주차장,부산광역시 남구 용호동 373-15번지,40000,공영
동보빌리지 주변,부산광역시 남구 대연동 1479-22번지,40000,공영
못골성당 앞,부산광역시 남구 대연동 1535-2번지,40000,공영
충무동제7공영,부산광역시 서구 충무동1가 43-1,0,공영
암남동제5공영,부산광역시 서구 암남동 123-50,0,공영
서구 원양로제1공영,부산광역시 서구 암남동 633-2,0,공영
충무동새벽시장공영,부산광역시 서구 남부민동 685-1,0,공영
송도공영,부산광역시 서구 암남동 579,0,공영
망양공영,부산광역시 서구 동대신동1가 11-15,0,공영
북산리공영,부산광역시 서구 동대신동2가 79-39,0,공영
고운들공영,부산광역시 서구 서대신동2가 509-233,0,공영
동대1제5공영,부산광역시 서구 동대신동1가 340,0,공영
동대2제1공영,부산광역시 서구 동대신동2가 452-4,0,공영
부민동제4공영,부산광역시 서구 부용동1가 66-1,0,공영
아미제2공영,부산광역시 서구 아미동1가 1,0,공영
